hobby,cluster
observing family members create art or music,54
Classic R&B movies,-1
Guided art walks,-1
Exploring hot springs,-1
Hiking in the Adirondacks,71
park swings and running races,-1
Food truck and pop‑up restaurant exploration,-1
Hiking in Bucks County,71
Volunteer teaching of repair skills,82
After‑school creative writing mentorship,-1
Classic pulp magazine collecting,-1
Amateur stage performance,-1
Product photography,67
Cooking regional New York cuisine,20
Weekly poker nights,-1
Nature walks around Spirit Lake,-1
Following professional soccer (Chile national team),-1
"Hiking (Cuyamaca, Anza‑Borrego)",71
Practicing Spanish slang and phrase usage,-1
Prairie photography,-1
vintage flea market hunting,62
Cooking Greek cuisine,-1
Photography of historic Charleston,74
Social media blogging about small-town life,-1
Beekeeping,-1
Personal‑growth reading,46
Exploring local civil‑rights history,-1
Online courses on sustainable building,83
Home networking lab projects,-1
Hiking in Shawnee National Forest,71
Leading senior art discussion groups,-1
Snowmobile maintenance as a hobby,-1
Fishing on the Great Peconic Bay,49
Racine summer festivals,-1
Native drum circles,95
Attending Oklahoma City Thunder games,97
Digital Communication (Video Calls),-1
Organizing action figures and stickers,61
Social cricket matches,1
small‑group collaborative building,-1
Quilting with geometric patterns,-1
Video calling grandchildren,-1
Truck maintenance and DIY upgrades,63
Exploring historic sites and Lowcountry plantations,89
Participating in small‑group physics outreach for middle‑school students,-1
Bingo nights,36
participating in quiz bowl,102
Storytime with caregivers,42
Playing pool at a local bar,-1
Teaching vehicle safety at community events,-1
Clockmaking,-1
creating folk art,-1
Hiking in the Laguna Coast Wilderness,71
Watching movies and TV series with strong female leads,13
Watching anime,-1
Half‑Marathon Running,29
Competitive tag and hopscotch games,56
Assembling care packages for local shelters,-1
Recording oral histories,54
listening to Guatemalan folktales,43
Traveling to Off‑beat Destinations,92
Community service road trips,-1
"Reading (chemistry, industrial safety, history, classic literature)",86
Photography and short‑form video creation,-1
"Reading (Supply Chain Innovation, Regional History)",46
Playing timbales,-1
VR gaming and experimental tech experiences,-1
Sharing artwork on Instagram,-1
Hiking on Monte Sano trails,71
Historical Society Board Member,-1
Creating short documentary videos for a regional history podcast,26
digital photo restoration,77
Wetland photography,-1
Home‑brewing kombucha,-1
Home‑renovation TV shows,6
Watching classic East Asian films,13
Soldering hobby electronics,-1
Attending Memphis Grizzlies games,97
Learning new transcription technologies,-1
Gentle Spanish folk songs,43
Café hopping and journaling,-1
Skateboarding with close friends,-1
Baking simple cookies and muffins,22
Mentoring aspiring referees,96
Woodworking with Reclaimed Barn Wood,15
Hiking at Radnor Lake State Natural Area,71
Board member of youth scholarship non‑profit,-1
Group art sessions with friends,100
Reading about art and logistics,86
Vietnamese folk dancing,-1
playgroup interactions,-1
Modifying his truck’s interior lighting and tech,-1
drawing rockets,16
Spanish language meet‑ups,102
Beatboxing and hip hop music,-1
Clay and playdough sculpting,-1
Boating on Lake Superior,23
Evening walks along the DuPage River,79
Observing colors and patterns,54
Whiskey tasting tours,-1
Exploring cultural sites in Florida,89
Traveling to historic African-American sites,89
Restoring classic wooden boats,41
Exploring historic sites in Pennsylvania,89
Participating in a book club on innovative thinking,102
Local business roundtable speaking,-1
Reading automotive technology blogs,32
Sketching forensic reconstructions,27
Exploring historic Jacksonville neighborhoods,89
Water play in a shallow tub,14
Foraging for wild herbs,-1
Blogging about carpentry,90
Preserving (jams and pickles),-1
Listening to Puerto Rican lullabies and Hawaiian chants,43
Volunteering (widows' support group),-1
Hiking in the Lubbock area,71
Hiking in the central mountain range (Cerro Gregorio),71
splashing in water tables,14
Walking historic Ponce,-1
Spontaneous road trips to wine country,-1
Restoring a 1967 Ford pickup,41
Minecraft level design,3
Landscape photography of the Texas Hill Country,74
watching shadow puppetry,-1
online CAD tutorials,-1
Writing mystery blog posts,-1
Reading lift‑the‑flap picture books,37
Hopscotch and tag,56
Reading about dinosaurs and space,66
Teaching math enrichment,-1
Teaching engineering basics,-1
DIY woodworking videos (YouTube),58
stacking rings and nesting cups,85
Junior marine clean-up volunteer,7
Sketching culinary concepts in a personal journal,-1
Blogging about teen life,-1
Solo Running (Hudson River Waterfront),-1
Following Charlotte Hornets basketball,-1
Rangoli creation,-1
Minecraft building and basic modding,3
Teaching robotics to grandchildren,19
Soccer fan,39
Following Arizona Diamondbacks baseball,-1
Cycling along the Long Island Sound and weekend running,79
Bourbon tasting,-1
Soccer refereeing,39
Razorbacks Football Games,-1
Listening to Uzbek folk music and pop,-1
Hiking in Kankakee River State Park,71
Attending weekly senior center craft circles,-1
"Hiking (Diamond Head, Makapuu Trail)",71
Participating in gentle dance with caregivers,102
Leading cleaning workshops,5
Coordinating senior meal‑delivery routes,-1
Playing the guzheng,65
Reading about colonial architecture,-1
Digital art and portfolio building,-1
Attending Minnesota State Fair,98
feeling varied textures,-1
"Reading picture books (e.g., The Magic School Bus)",37
organizing art supplies and project notebooks,34
Exploring New Navigation Apps,99
Grasping high‑contrast visual cards,-1
Baking seasonal treats,22
Attending Boise State football games,97
Gymnastics,-1
Screen‑printing T‑shirts,-1
High‑school football fandom,-1
Historical nonfiction on African‑American culinary heritage,51
Mobile gaming,-1
Restoring vintage arcade cabinets,40
Electric vehicle DIY projects,-1
DIY repair videos,58
Custom synthesizer building,-1
Exploring Okefenokee Swamp,-1
Reading home-improvement magazines,6
cooking Lebanese cuisine,-1
Playing Connect Four,36
Chinese New Year festival participation,-1
Participating in a small Spanish‑language church group,102
Book club focusing on avant‑garde fiction and poetry,-1
Documenting family oral history,54
Creating video essays on unconventional art,26
Resin art,9
Skiing at Mt. Bachelor,-1
Collecting botanical prints,-1
Attending small mechanic meet-ups,75
Reading Business and Veterinary Innovation Literature,-1
Volunteer budgeting committee for local school district,-1
Board games with a close circle,-1
Hiking the Medicine Bow–Raton trails,71
Reading technical manuals and sustainability articles,33
Hiking in the Watchung Mountains,71
exploring leaf piles in the backyard,-1
Knitting intricate shawls,-1
Reading about sustainable landscaping,83
Hiking and kayaking in St. Lucie County,71
Hiking at Lake Ray Hubbard and local parks,71
Reading Chinese historical novels and classic poetry,-1
Fishing at the Guadalupe River,49
Family picnics in the park,25
Ceramic glazing workshops,9
Reading biographies of innovators,-1
K‑dramas and K‑pop,-1
Digital photo organization,77
