canonical_hobby,merged_group
kayaking on the St. Johns River,kayaking on the St. Johns River
Church study groups and potlucks,"Church study groups and potlucks, Church Participation and Potlucks, church and community potlucks, Church potluck participation, Church potlucks"
DIY automotive maintenance,"DIY automotive maintenance, Basic automotive maintenance, DIY Vehicle Maintenance and Customization, Automotive maintenance, DIY automotive repair, DIY Car Maintenance"
Cooking Mexican cuisine with family,"Cooking Mexican cuisine with family, cooking Mexican dishes with family, Cooking Mexican dishes with family, Cooking simple Mexican dishes with family"
STEM mentoring,"STEM mentoring, Mentoring high-school students in STEM, Mentoring High‑School STEM Students, STEM mentoring for middle‑school girls, Mentoring, STEM Mentorship, STEM mentorship for high‑school students, STEM Mentorship for High‑School Students, Mentoring STEM outreach for girls, Mentoring high‑school girls in STEM, Mentoring high school students in STEM, Mentoring at community STEM outreach events, Mentoring high‑school STEM students, STEM mentorship, STEM mentoring for high‑school students, Mentoring high-school STEM students, Mentoring high school students in STEM outreach programs"
Reading whimsical books,Reading whimsical books
Cooking Filipino and fusion cuisine,"Cooking Filipino and fusion cuisine, Cooking Asian fusion cuisine, Cooking Asian‑fusion cuisine, Cooking South Asian cuisine and fusion dishes, Cooking South Asian fusion cuisine, Cooking Filipino cuisine, Cooking fusion South Asian cuisine, Fusion cooking (South Asian & Creole)"
Family potlucks,"Family potlucks, Community potlucks"
Reading DIY and trade magazines,"Reading DIY and trade magazines, Reading Trade Magazines, reading trade magazines"
School Clean-up Days,School Clean-up Days
tactile play with soft fabrics,"tactile play with soft fabrics, tactile play with textured toys"
Southern baking,"Southern baking, Baking Southern desserts"
"collecting leaves, rocks, and pinecones","collecting leaves, rocks, and pinecones"
Strategy board games with a close‑knit group,"Strategy board games with a close‑knit group, Small-group board games, Board‑Game Groups, Board games with small groups, Small‑group board games, playing strategic board games with a small group, small‑group board games, Small‑Group Board Games"
Playing acoustic guitar in a local jam session,"Playing acoustic guitar in a local jam session, Playing acoustic guitar (bluegrass jam sessions)"
Learning New Software,Learning New Software
Speculative Fiction Reading,"Speculative Fiction Reading, Speculative fiction and poetry reading, Reading speculative science fiction, reading speculative fiction and classic literature, speculative fiction reading, Reading speculative fiction and technology non‑fiction, Reading speculative fiction and design magazines, Reading speculative and contemporary fiction, Reading contemporary fiction and speculative science, Reading science fiction and speculative nonfiction, Reading contemporary literature, philosophy, and speculative fiction, Reading speculative fiction and science non‑fiction, Speculative fiction and philosophy reading, Reading speculative fiction and poetry, Reading speculative fiction and science non-fiction, Reading science fiction and speculative fiction, Reading science‑fiction and speculative literature, Speculative fiction reading, reading speculative fiction and philosophy, Reading speculative fiction and philosophy, Reading contemporary fiction and speculative novels, Speculative Fiction & Philosophy Reading, Reading speculative fiction & philosophy, Reading Speculative Fiction, reading speculative fiction, Short speculative fiction writing, Reading (non-fiction, classic literature, speculative fiction), Speculative Fiction Writing, Reading philosophy and speculative fiction, Reading speculative fiction, Writing speculative fiction"
Creating Dia de los Muertos altars,"Creating Dia de los Muertos altars, creating Dia de los Muertos altars, Participating in Día de los Muertos altar preparations"
Sketching landscape designs,"Sketching landscape designs, Sketching and painting landscapes, Landscape sketching, sketching landscapes and murals"
Cooking and preserving Puerto Rican recipes,"Cooking and preserving Puerto Rican recipes, Cooking traditional Puerto Rican cuisine, Cooking traditional Puerto Rican cuisine (arroz con gandules, pernil), Cooking and experimenting with Puerto Rican cuisine, Cooking Puerto Rican cuisine, cooking traditional Puerto Rican dishes, Cooking traditional Puerto Rican snacks, Cooking Traditional Puerto Rican Dishes, Helping with family cooking (Puerto Rican dishes), Cooking traditional Puerto Rican meals, Cooking traditional Puerto Rican cuisine with modern twists, Cooking Puerto Rican and fusion cuisine, Traditional Puerto Rican Cooking, Experimenting with traditional Puerto Rican recipes, cooking Puerto Rican cuisine, Cooking traditional Puerto Rican recipes, cooking Puerto Rican dishes, Cooking Puerto Rican Cuisine, Cooking traditional Puerto Rican dishes, Cooking Puerto Rican dishes, Traditional Puerto Rican cooking, cooking traditional Puerto Rican meals"
Socializing at cafés and group outings,Socializing at cafés and group outings
co‑op video gaming,co‑op video gaming
pickup softball,"pickup softball, Softball"
Soccer (team play and practice),"Soccer (team play and practice), Playing soccer, Playing soccer (team drills and friendly matches), Football (team and individual practice), Soccer (team practice and matches), Soccer (team sport), playing soccer, Soccer practice"
Listening to and retelling picture books,"Listening to and retelling picture books, listening to and retelling picture books, reading and listening to picture books, listening to picture‑book stories, listening to picture books, Listening to picture books"
Exploring local food trucks and tacos,Exploring local food trucks and tacos
solving jigsaw puzzles,"solving jigsaw puzzles, jigsaw puzzle solving, solving logic and jigsaw puzzles, jigsaw puzzles, Jigsaw and logic puzzles, Puzzle solving (crosswords, jigsaw puzzles), Jigsaw Puzzles, Puzzle solving (crossword/jigsaw), Puzzle solving (jigsaw puzzles, logic games), doing jigsaw puzzles, Simple jigsaw puzzles, Puzzle solving (jigsaw and logic puzzles), Puzzle solving (crosswords, jigsaws), simple jigsaw puzzles, assembling jigsaw puzzles, Puzzle solving (jigsaw, crosswords), DIY jigsaw puzzles, solving jigsaw puzzles (4‑12 pieces), Solving jigsaw puzzles, Solving Jigsaw Puzzles and Crosswords, Jigsaw puzzles"
Model Train Layout Building,"Model Train Layout Building, model train building, Model train building, Model Train Building, Model train layout building, Model‑Train Building, Model Railway Building, Model railway building, Model building (trains/houses), Model‑train building, Model‑train building and layout maintenance"
Reading true‑crime nonfiction,"Reading true‑crime nonfiction, Reading contemporary fiction, philosophy, and true‑crime, Reading true‑crime and historical nonfiction, Reading True‑Crime and Biographies, Reading true‑crime literature, reading true‑crime and detective novels, Reading crime fiction, Reading true‑crime and non-fiction, Reading historical fiction and true‑crime novels, Reading crime thrillers, Reading true-crime books, Reading true‑crime books and podcasts, Reading (true crime, historical non-fiction), Reading true‑crime books"
Grand Rapids Griffins hockey fan,Grand Rapids Griffins hockey fan
Volunteer bike safety program,Volunteer bike safety program
Listening to Latin music and live concerts,"Listening to Latin music and live concerts, Listening to Latin music, Listening to regional Mexican music and attending live concerts, Listening to Latin and mainstream music, Latin music listening, Attending live Latin music events, listening to Latin music, Attending Latin music concerts"
Visiting historic sites and museums,"Visiting historic sites and museums, Historical museum visits, Traveling to historic sites, Traveling to cultural heritage sites, Exploring local museums, Visiting museums and parks, Historic Site Visits, Exploring local history museums, Local history museum tours, Visiting local museums and historical sites, Traveling to historic cultural sites"
Indoor gardening,"Indoor gardening, Indoor plant gardening, indoor gardening, Indoor Herb Gardening, Indoor herb gardening"
Urban balcony gardening and hydroponics,Urban balcony gardening and hydroponics
Modern Philosophy,"Modern Philosophy, Reading Modern Philosophy"
listening to local history podcasts,"listening to local history podcasts, Listening to art-history podcasts, Listening to science and history podcasts"
Rock and stamp collecting,"Rock and stamp collecting, Rock collecting, rock collecting"
watching drama series,watching drama series
Sorting shape puzzles,"Sorting shape puzzles, shape‑sorter puzzles, Simple puzzles and shape-sorting games, shape sorter puzzles, shape sorters, Simple puzzles (jigsaw, shape sorting), Shape‑sorter puzzles, Simple shape-sorting puzzles"
"Listening to hip‑hop, jazz, neo‑soul","Listening to hip‑hop, jazz, neo‑soul, Listening to hip‑hop, R&B, neo‑soul, Listening to jazz and neo‑soul, Listening to hip‑hop, R&B and soul music, Jazz and soul music listening, Listening to music (hip‑hop, pop), Listening to soul, funk, and hip‑hop, listening to hip‑hop, gospel, and jazz music, Listening to Soul/Jazz Music, Listening to reggae, jazz, neo-soul, Listening to jazz, gospel, and soul music, Listening to jazz, neo‑soul, and classic R&B, listening to soul and jazz music"
Pretend rescue play,Pretend rescue play
Listening to regional Mexican music and indie folk,"Listening to regional Mexican music and indie folk, listening to Mexican folk music and dancing, Mexican Folk Music Listening, Listening to jazz and Mexican folk music, Listening to Mexican folk and modern pop music, Listening to regional Mexican music (banda, norteño), Listening to Mexican folk and contemporary music, Listening to music (classic rock, regional Mexican), Listening to Mexican music, Listening to music (Mexican folk and contemporary pop), Listening to regional Mexican and classic rock music, listening to Mexican folk music, Listening to instrumental Mexican folk music, Listening to classic Mexican and Southwestern music, Listening to regional Mexican and pop music, listening to traditional Mexican music, Listening to regional Mexican and Southern blues music, Listening to Mexican Folk and Classical Music, Listening to regional Mexican folk music, Listening to Mexican folk music and attending live performances, listening to and learning Mexican folk songs, Listening to music (regional Mexican, pop), Listening to Regional Mexican Music, listening to regional Mexican music, Listening to traditional Mexican folk music, Listening to traditional Mexican music, Listening to Mexican Folk Music, Listening to Mexican folk music, Listening to regional Mexican music"
Watching and discussing soccer games,"Watching and discussing soccer games, watching soccer, Watching soccer matches, Watching and discussing soccer (Liga MX, MLS), Watching soccer matches with friends, watching soccer matches, Watching soccer"
Python programming and data analysis,Python programming and data analysis
Open‑mic storytelling,Open‑mic storytelling
skateboarding in local parks,skateboarding in local parks
Competitive video gaming (RTS and FPS),Competitive video gaming (RTS and FPS)
Imaginary play and storytelling,Imaginary play and storytelling
Music listening and beat‑making,"Music listening and beat‑making, Music listening, music listening and beat making, music listening"
Community volunteer clean‑ups and tree planting,Community volunteer clean‑ups and tree planting
Art‑history podcasts,"Art‑history podcasts, Reading art history and contemporary art podcasts"
Church choir,"Church choir, Youth choir, Gospel Choir Singing, Church gospel choir, church choir singing, Senior choir, choir singing, Gospel choir singing, Church Choir, Community choir, Church choir volunteer, Church choir accompaniment, Choir singing, Church choir involvement, Participating in church choir and services, School choir singing, Church and choir activities, Singing in choir, Gospel and Jazz Choir Singing, church children’s choir singing, singing in choir, Church choir and volunteering, church choir volunteering, Singing in church choir, Gospel choir participation, Singing in the church choir, Church youth choir participation, Local choir, Community church choir, church choir, Church choir singing, Community choir singing, Community Choir Participation, Town choir, Choir, singing in the church choir, Choir Singing"
beach volleyball,"beach volleyball, Beach Volleyball, volleyball, Swimming and beach volleyball, Beach volleyball, Beach volleyball (casual), Volleyball, Surfing and beach volleyball, Beach volleyball with friends, Beach volleyball at Ocean Beach"
reading picture books about farms and wildlife,reading picture books about farms and wildlife
Organizing community health workshops,Organizing community health workshops
Church Outreach,"Church Outreach, Church participation (choir, outreach), Church outreach volunteering, Church Outreach Programs, Church outreach"
Community Theatre Volunteering,"Community Theatre Volunteering, Volunteering for community theater, volunteering for community theater set construction, Community theatre volunteering, Local community theater technical volunteering, Community theater volunteering, Volunteering backstage for community theater, Community theater backstage volunteer, Volunteer work at local theater and arts nonprofit, Volunteering at community theater, Community Theater (acting & backstage volunteering), Community Theater Volunteering, Community theater set design volunteering"
"Strategy board games (Chess, Settlers of Catan)","Strategy board games (Chess, Settlers of Catan), Strategic Board Games (e.g., Chess, Settlers of Catan), Strategy Board Games (Settlers of Catan, Risk), Competitive board games (Settlers of Catan, Codenames), Playing Strategy Board Games (Go, Settlers of Catan), Strategy board games (Catan, Ticket to Ride), Strategic board games (e.g., Settlers of Catan), strategy board games (e.g., Settlers of Catan), Strategy board games (e.g., Catan, Pandemic), Strategic board games (chess, Settlers of Catan), strategic board games (e.g., Settlers of Catan), Strategic board games (Catan Junior), Playing strategy board games (Chess, Settlers of Catan), strategy board games (Settlers of Catan, Risk)"
Reading poetry and philosophy,"Reading poetry and philosophy, attending poetry readings, Poetry Readings, Reading contemporary poetry, reading literature and philosophy, Attending poetry readings, reading poetry, Reading philosophy and poetry, Reading theology and poetry, Reading literature and philosophy, Poetry reading, Philosophy and Poetry Reading, Reading poetry, Poetry Reading"
Surfing at Long Beach,"Surfing at Long Beach, Surfing, surfing"
Monthly board-game evenings with close friends,"Monthly board-game evenings with close friends, Board‑game evenings with friends, Board‑game evenings, Board game evenings, Hosting board game nights with friends, Board game evenings with friends, Board‑game evenings with small groups, Board-game evenings with close friends, Board game nights with friends, Board‑game nights with friends, Board‑game nights with close friends"
Visiting art museums and sketching watercolors,Visiting art museums and sketching watercolors
Playing in the backyard or local park,"Playing in the backyard or local park, outdoor play at the neighborhood park"
Model railroad assembly,"Model railroad assembly, model train assembly, Model railroad building"
Cooking Honduran dishes,"Cooking Honduran dishes, Traditional Honduran Cooking, Cooking traditional Honduran meals, Cooking traditional Honduran dishes (baleadas, pupusas), Cooking Honduran cuisine, Traditional Honduran cooking, Cooking traditional Honduran meals for family, Cooking traditional Honduran cuisine, Cooking traditional Honduran dishes, family cooking of Honduran dishes"
Attending cultural lectures on Puerto Rican history,Attending cultural lectures on Puerto Rican history
Fly‑fishing with a small group,"Fly‑fishing with a small group, Fly‑fishing"
Philosophy Exploration,Philosophy Exploration
Watching documentaries on environment and DIY projects,Watching documentaries on environment and DIY projects
Cooking Workshops and Wine Tasting,Cooking Workshops and Wine Tasting
"Social media content creation (TikTok, YouTube)","Social media content creation (TikTok, YouTube), Social media content creation (TikTok, Instagram), Social media content creation (TikTok/Instagram), Social media content creation (Instagram, TikTok), Social media content creation, Social media video creation (TikTok)"
Exploring the neighborhood park,"Exploring the neighborhood park, exploring parks and backyard, Exploring parks, Exploring the park"
Photography of Oregon landscapes,"Photography of Oregon landscapes, Landscape photography of Oregon vistas"
lightweight photography,lightweight photography
walking on the beach,"walking on the beach, Walking on the beach, beach walking, beach walks, Beach Walks, Hiking and beach walks, Beach walks, Beach Walks & Swimming, Beach Walking, Beach walking"
DJing at local events,DJing at local events
Trying new local restaurants,"Trying new local restaurants, Trying New Restaurants, exploring new restaurants, Exploring new restaurants"
Walking her dog,"Walking her dog, Walking her Labrador"
quiet time with stuffed animal,quiet time with stuffed animal
Senior‑friendly hiking,Senior‑friendly hiking
beach clean-up activities,"beach clean-up activities, Beach Clean-ups, beach clean‑ups, beach clean-up volunteering, organizing beach clean‑ups, volunteering for beach clean‑up events, Volunteering for beach clean‑ups, Volunteering for community beach clean-ups, Participating in community beach clean‑ups, Volunteer beach clean-up, Beach clean-up volunteering, Beach clean‑ups, Volunteer beach clean‑ups"
Baking cookies and experimenting with recipes,"Baking cookies and experimenting with recipes, Baking cookies and other recipes, Baking cookies, baking cookies"
Hip‑hop music production,"Hip‑hop music production, Music production, Music production (beat‑making)"
Raised-bed gardening,"Raised-bed gardening, Gardening (raised‑bed, native plants)"
Community festival attendance,"Community festival attendance, Community festival planning, Attending community concerts and festivals, Community festival participation, Community festival outings, Community Festival Participation, Attending Community Events, Attending community events"
Reading contemporary fiction and non-fiction,"Reading contemporary fiction and non-fiction, Historical non-fiction reading, Reading contemporary fiction and classic literature, Historical Non-fiction Reading, Reading contemporary fiction & innovation non-fiction, Reading contemporary science‑fiction, Reading contemporary fiction & non‑fiction, Reading contemporary fiction and memoirs, Reading sci‑fi and non‑fiction books, Reading contemporary fiction and psychology non‑fiction, Reading contemporary fiction, Reading practical non‑fiction, Reading fiction and non‑fiction, Historical Non‑Fiction Reading, Reading contemporary non-fiction, Reading Contemporary Fiction, Reading contemporary fiction and non‑fiction, Reading contemporary literature, Reading (contemporary fiction and personal development), Historical Non-Fiction Reading, reading simple non-fiction, Reading contemporary fiction and cultural essays, reading contemporary novels, Reading Contemporary Fiction & Philosophy, Historical Non‑fiction Reading, Reading science‑fiction and contemporary non‑fiction, Reading non-fiction and classic science-fiction, reading contemporary fiction, Reading science‑fiction and technology non‑fiction, Reading historical and cultural non‑fiction, Reading Contemporary Non‑Fiction, Reading contemporary fiction and scientific journals, Reading contemporary fiction and philosophy, Reading (historical fiction, nature non‑fiction), Reading contemporary fiction and personal‑development non‑fiction, Reading non‑fiction on art, technology, and philosophy, Reading classic literature and contemporary non-fiction, Reading historical fiction and science non‑fiction, Reading science-fiction and non-fiction, reading literary fiction and historical non‑fiction, Historical non‑fiction reading, Reading Contemporary Non‑fiction & Philosophy, historical non-fiction reading, Contemporary Non‑Fiction Reading, Reading science non-fiction, Reading contemporary fiction and science non‑fiction"
Woodworking,"Woodworking, Woodworking and craft, woodworking, Woodworking Projects, Woodworking projects, DIY woodworking, Woodworking and DIY projects, Woodworking and furniture making, Woodworking art projects, woodworking and furniture making, Woodworking and carpentry projects, woodworking projects, Woodworking (furniture making), DIY Woodworking, Artistic Woodworking, Woodworking crafts, Woodworking (furniture building)"
Mentoring robotics club,"Mentoring robotics club, Mentoring youth in coding and robotics, coaching youth robotics club, Mentoring youth robotics clubs, robotics club, Mentoring youth robotics club, Mentoring youth in robotics clubs, Robotics Club, Robotics club mentorship, Mentoring robotics students, Robotics club, Robotics mentorship"
Reading architecture and design books,"Reading architecture and design books, Reading books on architecture and sustainable design"
building LEGO robotics kits,"building LEGO robotics kits, Building LEGO and basic robotics kits, Building LEGO robotics kits, Basic robotics kits, Building personal robotics kits, Building LEGO robotics, Robotics kits, Robotics kits (LEGO Mindstorms), LEGO building and simple robotics"
Cooking traditional Texan meals,"Cooking traditional Texan meals, Cooking Texan Cuisine"
Reading art history and design,"Reading art history and design, reading art history, Art history study, Reading Art History & Philosophy, Reading art history, Reading fiction and art history, Reading about art history and modern art, Reading (art history & science), Art history reading, Art History Reading, Reading art-history and philosophy, Reading art history and philosophy, Reading art history and design books, Reading Art History, reading art history and design books, Art History"
Sketching Design Ideas,Sketching Design Ideas
Playing Drums in Gospel Band,Playing Drums in Gospel Band
Cooking soul food with modern twists,"Cooking soul food with modern twists, Cooking Soul Food, Cooking soulful dishes with modern twists, Cooking soul food and experimenting with new recipes, Cooking traditional soul food, Cooking Soul-Food Recipes, Cooking soul food, Cooking traditional soul‑food meals, Cooking soul food and Southern recipes, Cooking creative soul‑food dishes, Home recipe experimentation (soul‑food twists), Cooking Southern soul‑food, cooking family soul‑food recipes, cooking soul food, cooking soul‑food dishes, Cooking soul‑food, Southern Soul‑Food Cooking, Cooking soul-food dishes, Soul Food Cooking, cooking soul‑food, Cooking traditional soul food recipes, Cooking soul‑food recipes, Cooking soul‑food for potlucks, Baking traditional soul-food, Cooking Southern Soul Food, Soul food cooking, Cooking soul‑food with healthy twists, Traditional soul-food cooking, Soul‑food cooking, Cooking soul-food with a health twist, Cooking soul-food inspired meals, Cooking (soul food with modern twists), Cooking Southern soul food, Cooking contemporary soul food, Cooking soul‑food dishes, Cooking modern soul food, cooking soul food and experimenting with recipes, Cooking (Soul Food with Modern Twist), Cooking soul‑food with global twists, Exploring soul food cooking, Cooking and experimenting with soul‑food recipes, Cooking traditional soul‑food, Cooking Soul Food with Contemporary Twists, Cooking soul‑food and fusion meals"
Bridge (card game) club,"Bridge (card game) club, Bridge (Card Games), Bridge (card games), Bridge/card games, bridge and card games, Bridge/Card Games, Bridge (card game), bridge club, Playing bridge at a community club, Bridge and card games, bridge (card game), Bridge card game, Participating in bridge club, playing bridge and cards, Bridge (Card Game), Playing bridge and other card games, Bridge club, Playing bridge and card games, Bridge card games, Bridge club participation"
keeping a personal journal,"keeping a personal journal, Personal journaling, personal journaling, Journal keeping"
Volunteering with Latinx youth mentorship,Volunteering with Latinx youth mentorship
Woodworking miniatures,Woodworking miniatures
Traveling to Colombia and other countries,Traveling to Colombia and other countries
reading (history and agriculture),reading (history and agriculture)
Gardening (organic vegetables and native plants),"Gardening (organic vegetables and native plants), Organic gardening (heirloom tomatoes, herbs), Gardening (vegetables and native wildflowers), Organic Gardening, Gardening (vegetables and native plants), Gardening and organic vegetable cultivation, gardening (vegetables and native plants), Organic gardening, Gardening (vegetables, perennials)"
"participating in structured group games (e.g., Simon Says)","participating in structured group games (e.g., Simon Says)"
"competitive board games (Connect Four, chess)","competitive board games (Connect Four, chess)"
Reading literary and philosophical works,"Reading literary and philosophical works, Philosophical reading, Philosophical Reading, historical and philosophical reading, Reading classic literature and philosophy, Reading philosophy and contemporary literature, Reading fiction and philosophy, Reading contemporary literature and philosophy, Reading (historical fiction, philosophy), philosophical reading, Reading contemporary and philosophical literature"
sketching futuristic vehicle designs,"sketching futuristic vehicle designs, sketching car designs"
Gardening (roses and native plants),"Gardening (roses and native plants), Gardening (herbs and roses), Gardening (native Texas herbs and roses), Gardening (roses), Gardening (heritage roses, native plants, pollinator gardens), Vegetable and rose gardening, Backyard gardening (roses, seasonal vegetables), Rose gardening, Gardening (vegetable beds, roses), Gardening (vegetables and roses), Gardening (vegetable gardening, roses, companion planting), Rose and herb gardening, Gardening (roses and herbs), Rose Gardening"
Sketching and mixed‑media painting,"Sketching and mixed‑media painting, Sketching and mixed‑media art, Sketching and digital painting, Mixed-Media Painting, Sketching and painting (mixed media), mixed‑media painting, Painting and mixed-media art, Mixed‑media painting"
Sunset photography,"Sunset photography, photography (sunsets and work sites)"
Kayaking the Chain of Lakes,"Kayaking the Chain of Lakes, Kayaking on Lake Michigan, Fishing and kayaking on local lakes, Kayaking on Minnesota lakes"
photographing dishes,photographing dishes
Watching automotive repair tutorials,"Watching automotive repair tutorials, Reading automotive repair guides"
Playing board games with family,"Playing board games with family, Board games with family, playing board games with family"
solitary play,"solitary play, Solitary, quiet play, quiet solitary play"
Exploring nature/collecting insects,"Exploring nature/collecting insects, Insect collecting and observation, outdoor exploration (collecting leaves, bugs), Backyard nature exploration (collecting leaves, rocks, insects), Backyard nature exploration (collecting leaves, stones, watching insects), Exploring backyard nature and collecting bugs, Insect collecting, exploring nature and collecting insects, Nature exploration (collecting leaves, watching insects)"
pretend play with animal figures,"pretend play with animal figures, pretend play with animal figurines, pretend play with toy animals, pretend play with dolls and animal figures, Pretend play with dolls and animal figures"
cooking Salvadoran dishes,"cooking Salvadoran dishes, Cooking traditional Salvadoran cuisine, Cooking traditional Salvadoran dishes, Cooking and experimenting with Salvadoran dishes, Cooking and teaching Salvadoran recipes, Cooking Salvadoran Cuisine, Traditional Salvadoran Cooking, Cooking Salvadoran dishes (pupusas, tamales), Cooking Salvadoran cuisine"
"Local pilot association involvement (fly‑ins, aircraft‑restoration events)","Local pilot association involvement (fly‑ins, aircraft‑restoration events)"
school art club participation,"school art club participation, art club participation, Participating in school art club, participating in school art club, school club participation, Participating in art club, School art club, Participating in after‑school art club, School art club participation, school art club"
Walking in Buffalo Bayou Park,Walking in Buffalo Bayou Park
Classical and Dominican music listening,"Classical and Dominican music listening, classical music listening, Classical music listening, Classical Music Listening"
Listening to Ranchera and Mariachi music,"Listening to Ranchera and Mariachi music, listening to mariachi and ranchera music, Listening to ranchera and folkloric music, Listening to ranchera and mariachi music, Listening to ranchera, mariachi, and classic rock, Listening to ranchera and Tejano music, listening to ranchera and mariachi music"
Reading About Transportation Technology and Logistics,"Reading About Transportation Technology and Logistics, Reading (nonfiction, transport logistics)"
participating in group cuddle sessions,participating in group cuddle sessions
Playing acoustic guitar and singing,"Playing acoustic guitar and singing, Playing Acoustic Guitar, Playing acoustic guitar, playing acoustic guitar"
School soccer,School soccer
Intramural Soccer,"Intramural Soccer, Intramural soccer league, Playing intramural soccer, Intramural soccer, Intramural volleyball, intramural soccer, Intramural Basketball, Intramural basketball"
Bird watching in Prospect Park,Bird watching in Prospect Park
Walking along the Inner Harbor,"Walking along the Inner Harbor, walking the Harborwalk"
Model Shipbuilding,"Model Shipbuilding, Scale model shipbuilding, Model shipbuilding"
reading DIY guides,reading DIY guides
Koto practice,Koto practice
reading adventure/fantasy books,"reading adventure/fantasy books, Reading fantasy and adventure books, Adventure reading, Reading adventure novels, Reading adventure/fantasy novels, Reading series fiction (fantasy, adventure), Adventure book reading, Reading Adventure Novels, reading adventure and folklore books, Reading adventure and folklore books, Reading fantasy/adventure books, adventure reading, Reading adventure books (e.g., Magic Tree House)"
Watching Detroit Tigers and Lions,Watching Detroit Tigers and Lions
Listening to Ecuadorian folk music and jazz,"Listening to Ecuadorian folk music and jazz, Listening to Salvadoran folk music, listening to Salvadoran folk music, listening to reggaeton and Ecuadorian folk music"
Hiking in the Sandia Mountains,"Hiking in the Sandia Mountains, Hiking in the Sandia Mountains and Desert Photography"
Exploring local craft breweries,"Exploring local craft breweries, Exploring Local Pizza and Craft Breweries, Exploring Local Craft Breweries"
playing strategy video games with a small friend group,"playing strategy video games with a small friend group, Playing board games with a small group of friends, Playing strategy board games with close friends, playing board games with a small group of friends, multiplayer strategy video games with a small group of friends"
Fusion cooking (Japanese‑Chinese‑American),"Fusion cooking (Japanese‑Chinese‑American), Cooking traditional South Asian meals and fusion experiments, Cooking and experimenting with fusion Asian-American recipes, Cooking Traditional and Fusion Asian Dishes, Cooking fusion Asian dishes, Experimental cooking (Southern & international fusion), Fusion Cooking, Cooking (fusion cuisine), Culinary Fusion Cooking, Fusion Cooking (Chinese‑Californian), Fusion cooking experimenting with Southeast Asian and Midwestern recipes, Experimental fusion cooking, Cooking Asian‑American fusion dishes, Fusion cooking, Cooking Asian‑fusion meals, Cooking South Asian and fusion dishes, Cooking Japanese‑Virginia Fusion Cuisine"
block building,"block building, Block tower building, Building block construction, building with blocks, Building blocks, block tower building, Block building, building blocks, Building with blocks, building block construction"
Playing chess at the community café,"Playing chess at the community café, Playing chess at the community center, Chess at the community center, Playing chess at a neighborhood coffee shop, Playing chess at community center"
Assisting with the family garden,"Assisting with the family garden, Gardening with family, gardening with family"
Classic rock listening,"Classic rock listening, classic rock listening, Classic rock and jazz listening, Classic Rock Listening, Classic Rock Music, Classic rock music, classic rock music"
Reading magical realism and contemporary poetry,"Reading magical realism and contemporary poetry, Reading magical‑realist literature, Reading magical realism and poetry, reading magical realism and poetry, Reading magical realism, Reading magical realism novels"
Crocheting for church fundraisers,Crocheting for church fundraisers
Photography walks along the lakefront,"Photography walks along the lakefront, walking along the lakefront, Lakefront walking"
Hiking in the Deschutes River Trail,Hiking in the Deschutes River Trail
Cycling on Raleigh greenways,Cycling on Raleigh greenways
Volunteering with the New River Historical Society,Volunteering with the New River Historical Society
TikTok content creation,TikTok content creation
Jazz and Motown Listening,"Jazz and Motown Listening, hip-hop and Motown listening"
Hiking in the Daniel Boone National Forest,"Hiking in the Daniel Boone National Forest, Hiking in Daniel Boone National Forest"
Exploring backyard,"Exploring backyard, Exploring backyard nature, Backyard exploration, Backyard nature observation, outdoor backyard exploration, Exploring backyard garden and observing nature, backyard nature exploration, observing backyard nature, backyard exploration, Exploring the backyard and observing nature, Exploring backyard garden, Exploring the backyard, Backyard nature exploration, exploring the backyard, exploring backyard garden"
Bird-watching in Florida wetlands,Bird-watching in Florida wetlands
gallery openings,gallery openings
Traveling to Explore New Cultures,"Traveling to Explore New Cultures, Traveling to cultural destinations, Traveling to Cultural Destinations, Traveling to explore new cultures, Traveling to explore cultures, Traveling to explore cultural scenes"
Cooking Southwestern dishes,"Cooking Southwestern dishes, Exploring Southwestern Cuisine, Cooking Southwestern cuisine, Cooking southwestern cuisine"
Neighborhood clean-up participation,"Neighborhood clean-up participation, Neighborhood clean‑up volunteer work, Participating in neighborhood cleanup events, volunteering for neighborhood clean‑ups, Neighborhood clean‑ups, Neighborhood clean‑up activities, Neighborhood clean‑up volunteering"
Amateur Photography,"Amateur Photography, Amateur photography, Amateur nature photography"
science-fiction & philosophy reading,"science-fiction & philosophy reading, Reading Science Fiction & Philosophy, Science and philosophy reading, Reading science and philosophy, Reading science‑fiction & philosophy, Science‑Fiction & Philosophy Reading, Reading philosophy and science-fiction, Reading philosophy and science nonfiction, Reading sci‑fi & philosophy"
"Cooking Vietnamese dishes (pho, bun cha, spring rolls)","Cooking Vietnamese dishes (pho, bun cha, spring rolls), Cooking traditional Vietnamese and Filipino dishes, Vietnamese Cooking, Vietnamese cooking, Cooking Vietnamese dishes"
Singing karaoke,"Singing karaoke, karaoke nights, Karaoke with friends, Karaoke singing at local venues, Karaoke sessions, Karaoke, Karaoke Nights, karaoke singing, Karaoke nights, karaoke, Karaoke and Live Music"
Volunteering as treasurer for artist cooperative,"Volunteering as treasurer for artist cooperative, Volunteering as treasurer for a local arts non-profit"
Live music and salsa dancing,"Live music and salsa dancing, Salsa and swing dancing, Dancing (salsa/hip hop), Live Music (Salsa, Classic Rock), Salsa dancing and Latin music"
Attending craft-brew tastings,"Attending craft-brew tastings, Craft‑brew tasting"
Theater outings,"Theater outings, Attending local theater, Attending Local Theater, Attending theater"
