canonical,variations
Scratch programming,['Scratch programming']
Journaling for emotional processing,['Journaling for emotional processing']
Basic Vietnamese language practice with family,['Basic Vietnamese language practice with family']
Playing indie video games,['Playing indie video games']
Sketching and watercolor painting of industrial and natural scenes,['Sketching and watercolor painting of industrial and natural scenes']
Community Karaoke Nights,['Community Karaoke Nights']
Reading contemporary fiction and personal‑development non‑fiction,['Reading contemporary fiction and personal‑development non‑fiction']
Indoor herb gardening,['Indoor herb gardening']
Reading tech blogs and listening to industry podcasts,['Reading tech blogs and listening to industry podcasts']
"Attending live music events, especially jazz and R&B","['Attending live music events, especially jazz and R&B']"
Mobile gaming,['Mobile gaming']
Interactive music and button toys,['Interactive music and button toys']
Reading Western history,['Reading Western history']
Writing poetry and essays,['Writing poetry and essays']
Mural experimentation,['Mural experimentation']
